County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
48389,Reeves County,Texas,22.9,81.346623270952
48405,San Augustine County,Texas,22.9,41.803485728719394
51059,Fairfax County,Virginia,22.9,99.725117338037
01063,Greene County,Alabama,23,4.4890038809832
08059,Jefferson County,Colorado,23,99.0363864061347
13183,Long County,Georgia,23,32.1313706086096
13253,Seminole County,Georgia,23,16.9235815021318
17149,Pike County,Illinois,23,43.910713074157
21087,Green County,Kentucky,23,No Data
21181,Nicholas County,Kentucky,23,8.1862810136659
40067,Jefferson County,Oklahoma,23,36.930860033726795
47137,Pickett County,Tennessee,23,0.09998000399920001
48227,Howard County,Texas,23,64.31440045897881
48331,Milam County,Texas,23,59.4085804314454
48449,Titus County,Texas,23,51.6593592984927
51127,New Kent County,Virginia,23,87.27827413379819
51181,Surry County,Virginia,23,9.9832342630697
51640,Galax City,Virginia,23,98.422619047619
51750,Radford City,Virginia,23,77.0566272557561
02164,Lake and Peninsula Borough,Alaska,23.1,17.2086720867209
06059,Orange County,California,23.1,99.077656057175
08027,Custer County,Colorado,23.1,93.9200680272109
08065,Lake County,Colorado,23.1,85.8660570199032
08093,Park County,Colorado,23.1,52.1219091431857
13119,Franklin County,Georgia,23.1,41.820355191256795
13149,Heard County,Georgia,23.1,0.43813529617950003
17041,Douglas County,Illinois,23.1,80.72948328267479
20161,Riley County,Kansas,23.1,86.4381105907531
25003,Berkshire County,Massachusetts,23.1,88.5247934524824
26143,Roscommon County,Michigan,23.1,68.3234579479091
30037,Golden Valley County,Montana,23.1,2.7946537059538
37059,Davie County,North Carolina,23.1,66.8313354560779
37113,Macon County,North Carolina,23.1,100
40069,Johnston County,Oklahoma,23.1,40.6736760124611
47127,Moore County,Tennessee,23.1,15.3691379043492
48077,Clay County,Texas,23.1,6.9387355646898
48151,Fisher County,Texas,23.1,42.7015250544662
48279,Lamb County,Texas,23.1,66.0329628210042
48463,Uvalde County,Texas,23.1,67.9978830809314
49001,Beaver County,Utah,23.1,79.7794117647059
49009,Daggett County,Utah,23.1,97.7540106951872
50001,Addison County,Vermont,23.1,63.985761314669595
06061,Placer County,California,23.2,93.0920914465866
06079,San Luis Obispo County,California,23.2,87.1264481772087
06109,Tuolumne County,California,23.2,75.25350593311761
08021,Conejos County,Colorado,23.2,6.3664388151722
08095,Phillips County,Colorado,23.2,77.5055187637969
13011,Banks County,Georgia,23.2,30.9786526199057
13049,Charlton County,Georgia,23.2,53.3871225435373
13191,Mcintosh County,Georgia,23.2,53.9316628701595
13231,Pike County,Georgia,23.2,42.267986658902004
16033,Clark County,Idaho,23.2,5.4430379746835
17005,Bond County,Illinois,23.2,62.050822122571006
17125,Mason County,Illinois,23.2,58.979061592541605
17165,Saline County,Illinois,23.2,71.470043756311
20097,Kiowa County,Kansas,23.2,36.6666666666667
22059,Lasalle Parish,Louisiana,23.2,61.368399702521806
